[DEBUG] 2017-11-24 10:56:26,711(0) us.codecraft.webmagic.scheduler.DuplicateRemovedScheduler.push(DuplicateRemovedScheduler.java:36) –> [main] push to queue https://www.zhihu.com/explore  
[INFO ] 2017-11-24 10:56:27,021(310) us.codecraft.webmagic.Spider.run(Spider.java:306) –> [main] Spider www.zhihu.com started!  
[DEBUG] 2017-11-24 10:56:27,132(421) org.apache.http.client.protocol.RequestAddCookies.process(RequestAddCookies.java:122) –> [pool-1-thread-1] CookieSpec selected: standard  
[DEBUG] 2017-11-24 10:56:27,145(434) org.apache.http.client.protocol.RequestAuthCache.process(RequestAuthCache.java:76) –> [pool-1-thread-1] Auth cache not set in the context  
[DEBUG] 2017-11-24 10:56:27,146(435) org.apache.http.impl.conn.PoolingHttpClientConnectionManager.requestConnection(PoolingHttpClientConnectionManager.java:249) –> [pool-1-thread-1] Connection request: [route: {s}->https://www.zhihu.com:443][total kept alive: 0; route allocated: 0 of 100; total allocated: 0 of 1]  
[DEBUG] 2017-11-24 10:56:27,165(454) org.apache.http.impl.conn.PoolingHttpClientConnectionManager.leaseConnection(PoolingHttpClientConnectionManager.java:282) –> [pool-1-thread-1] Connection leased: [id: 0][route: {s}->https://www.zhihu.com:443][total kept alive: 0; route allocated: 1 of 100; total allocated: 1 of 1]  
[DEBUG] 2017-11-24 10:56:27,166(455) org.apache.http.impl.execchain.MainClientExec.execute(MainClientExec.java:234) –> [pool-1-thread-1] Opening connection {s}->https://www.zhihu.com:443  
[DEBUG] 2017-11-24 10:56:27,338(627) org.apache.http.impl.conn.DefaultHttpClientConnectionOperator.connect(DefaultHttpClientConnectionOperator.java:138) –> [pool-1-thread-1] Connecting to www.zhihu.com/47.95.51.100:443  
[DEBUG] 2017-11-24 10:56:27,339(628) org.apache.http.conn.ssl.SSLConnectionSocketFactory.connectSocket(SSLConnectionSocketFactory.java:335) –> [pool-1-thread-1] Connecting socket to www.zhihu.com/47.95.51.100:443 with timeout 5000  
[DEBUG] 2017-11-24 10:56:27,660(949) org.apache.http.conn.ssl.SSLConnectionSocketFactory.createLayeredSocket(SSLConnectionSocketFactory.java:388) –> [pool-1-thread-1] Enabled protocols: [TLSv1]  
[DEBUG] 2017-11-24 10:56:27,660(949) org.apache.http.conn.ssl.SSLConnectionSocketFactory.createLayeredSocket(SSLConnectionSocketFactory.java:389) –> [pool-1-thread-1] Enabled cipher suites:[TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA, TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA, TLS_RSA_WITH_AES_128_CBC_SHA, TLS_ECDH_ECDSA_WITH_AES_128_CBC_SHA, TLS_ECDH_RSA_WITH_AES_128_CBC_SHA, TLS_DHE_RSA_WITH_AES_128_CBC_SHA, TLS_DHE_DSS_WITH_AES_128_CBC_SHA, TLS_ECDHE_ECDSA_WITH_3DES_EDE_CBC_SHA, TLS_ECDHE_RSA_WITH_3DES_EDE_CBC_SHA, SSL_RSA_WITH_3DES_EDE_CBC_SHA, TLS_ECDH_ECDSA_WITH_3DES_EDE_CBC_SHA, TLS_ECDH_RSA_WITH_3DES_EDE_CBC_SHA, SSL_DHE_RSA_WITH_3DES_EDE_CBC_SHA, SSL_DHE_DSS_WITH_3DES_EDE_CBC_SHA, TLS_ECDHE_ECDSA_WITH_RC4_128_SHA, TLS_ECDHE_RSA_WITH_RC4_128_SHA, SSL_RSA_WITH_RC4_128_SHA, TLS_ECDH_ECDSA_WITH_RC4_128_SHA, TLS_ECDH_RSA_WITH_RC4_128_SHA, SSL_RSA_WITH_RC4_128_MD5, TLS_EMPTY_RENEGOTIATION_INFO_SCSV]  
[DEBUG] 2017-11-24 10:56:27,660(949) org.apache.http.conn.ssl.SSLConnectionSocketFactory.createLayeredSocket(SSLConnectionSocketFactory.java:393) –> [pool-1-thread-1] Starting handshake  
